Serial,Id_Unico,Equipo,Marca,Modelo,Servicio,Nueva_Ubicacion,Fuentes
21397556,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,,URGENCIAS ADULTOS,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397557,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,HOSPITALIZACIÓN ADULTOS PISO 4,"BOMBAS_2026_PENDIENTES, ICU_MEDICAL_LIST"
21397559,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,HOSPITALIZACIÓN ADULTOS PISO 4,"BOMBAS_2026_PENDIENTES, ICU_MEDICAL_LIST"
21397560,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,HOSPITALIZACIÓN CIRUGÍA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397562,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,HOSPITALIZACIÓN CIRUGÍA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397566,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,,"BOMBAS_2026_PENDIENTES, ICU_MEDICAL_LIST"
21397570,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,,URGENCIAS ADULTOS,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397576,21397576.0,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,HOSPITALIZACIÓN GINECO-OBSTETRICIA,,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST, INV_2025"
21397579,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,,URGENCIAS PEDIATRÍA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397580,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,,URGENCIAS PEDIATRÍA,"BOMBAS_2026_PENDIENTES, ICU_MEDICAL_LIST"
21397588,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,,URGENCIAS ADULTOS,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397591,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,GINECOBSTETRICIA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397594,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,URGENCIAS PEDIATRÍA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397596,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,URGENCIAS PEDIATRÍA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397597,21397597.0,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,BLOQUE QUIRÚRGICO,HOSPITALIZACIÓN CIRUGÍA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST, INV_2025"
21397598,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,HOSPITALIZACIÓN CIRUGÍA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397602,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397603,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,HOSPITALIZACIÓN ADULTOS EXPANSIÓN,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397604,21397604.0,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,HOSPITALIZACIÓN ADULTOS 5° PISO,URGENCIAS PEDIATRÍA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST, INV_2025"
21397626,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,HOSPITALIZACIÓN ADULTOS PISO 4,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397631,21397631.0,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,IMÁGENES DIAGNOSTICAS,URGENCIAS PEDIATRÍA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST, INV_2025"
21397635,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,HOSPITALIZACIÓN CIRUGÍA,"BOMBAS_2026_PENDIENTES, ICU_MEDICAL_LIST"
21397637,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,,URGENCIAS ADULTOS,"BOMBAS_2026_PENDIENTES, ICU_MEDICAL_LIST"
21397645,21397645.0,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,HOSPITALIZACIÓN QUIRÚRGICAS,URGENCIAS ADULTOS,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST, INV_2025"
21397649,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,HOSPITALIZACIÓN CIRUGÍA,"BOMBAS_2026_PENDIENTES, ICU_MEDICAL_LIST"
21397654,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,HOSPITALIZACIÓN PEDIÁTRICA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397657,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397661,21397661.0,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,HOSPITALIZACIÓN GINECO-OBSTETRICIA,HOSPITALIZACIÓN CIRUGÍA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST, INV_2025"
21397667,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397670,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,URGENCIAS PEDIATRÍA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397671,21397671.0,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,HOSPITALIZACIÓN ADULTOS 5° PISO,URGENCIAS PEDIATRÍA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST, INV_2025"
21397673,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,,URGENCIAS ADULTOS,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397679,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,GINECOBSTETRICIA,"BOMBAS_2026_PENDIENTES, ICU_MEDICAL_LIST"
21397846,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,,URGENCIAS ADULTOS,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397851,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397853,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397856,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,,URGENCIAS ADULTOS,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397858,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,,URGENCIAS PEDIATRÍA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397861,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,HOSPITALIZACIÓN ADULTOS PISO 4,"BOMBAS_2026_PENDIENTES, ICU_MEDICAL_LIST"
21397864,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,HOSPITALIZACIÓN ADULTOS PISO 5,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397870,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,HOSPITALIZACIÓN CIRUGÍA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397872,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,HOSPITALIZACIÓN ADULTOS EXPANSIÓN,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397874,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,,URGENCIAS ADULTOS,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397875,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,HOSPITALIZACIÓN ADULTOS PISO 5,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397876,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,HOSPITALIZACIÓN ADULTOS PISO 4,"BOMBAS_2026_PENDIENTES, ICU_MEDICAL_LIST"
21397877,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397881,21397881.0,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,BLOQUE QUIRÚRGICO,URGENCIAS PEDIATRÍA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST, INV_2025"
21397887,21397887.0,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,HOSPITALIZACIÓN GINECO-OBSTETRICIA,,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST, INV_2025"
21397889,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,,"BOMBAS_2026_PENDIENTES, ICU_MEDICAL_LIST"
21397902,21397902.0,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,HOSPITALIZACIÓN GINECO-OBSTETRICIA,HOSPITALIZACIÓN ADULTOS PISO 4,"BOMBAS_2026_PENDIENTES, ICU_MEDICAL_LIST, INV_2025"
21397908,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,,URGENCIAS ADULTOS,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397924,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,HOSPITALIZACIÓN CIRUGÍA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397929,21397929.0,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,HOSPITALIZACIÓN PEDIATRÍA (Ruta Dorada),URGENCIAS ADULTOS,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST, INV_2025"
21397930,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,,HOSPITALIZACIÓN ADULTOS PISO 4,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397938,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,,URGENCIAS PEDIATRÍA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397948,21397948.0,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,HOSPITALIZACIÓN QUIRÚRGICAS,URGENCIAS ADULTOS,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST, INV_2025"
21397952,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,,URGENCIAS ADULTOS,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397954,21397954.0,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,BLOQUE QUIRÚRGICO,,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST, INV_2025"
21397958,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,,URGENCIAS ADULTOS,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397962,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,HOSPITALIZACIÓN PEDIÁTRICA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397970,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,HOSPITALIZACIÓN CIRUGÍA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397972,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,,URGENCIAS PEDIATRÍA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397982,21397982.0,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,HOSPITALIZACIÓN ADULTOS EXPANSIÓN,URGENCIAS ADULTOS,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST, INV_2025"
21397983,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,URGENCIAS PEDIATRÍA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21398010,21398010.0,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,HOSPITALIZACIÓN PEDIATRÍA (Ruta Dorada),HOSPITALIZACIÓN ADULTOS PISO 4,"BOMBAS_2026_PENDIENTES, ICU_MEDICAL_LIST, INV_2025"
21398028,21398028.0,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,HOSPITALIZACIÓN ADULTOS 5° PISO,URGENCIAS ADULTOS,"BOMBAS_2026_PENDIENTES, ICU_MEDICAL_LIST, INV_2025"
21398036,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,,URGENCIAS PEDIATRÍA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21398046,21398046.0,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,HOSPITALIZACIÓN ADULTOS 5° PISO,,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST, INV_2025"
21398047,21398047.0,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,HOSPITALIZACIÓN QUIRÚRGICAS,URGENCIAS ADULTOS,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST, INV_2025"
21398061,21398061.0,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,HOSPITALIZACIÓN ADULTOS 5° PISO,HOSPITALIZACIÓN ADULTOS EXPANSIÓN,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST, INV_2025"
21398062,21398062.0,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,HOSPITALIZACIÓN ADULTOS EXPANSIÓN,HOSPITALIZACIÓN ADULTOS EXPANSIÓN,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST, INV_2025"
21398071,21398071.0,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,HOSPITALIZACIÓN QUIRÚRGICAS,HOSPITALIZACIÓN ADULTOS EXPANSIÓN,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST, INV_2025"
21398072,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,HOSPITALIZACIÓN CIRUGÍA,"BOMBAS_2026_PENDIENTES, ICU_MEDICAL_LIST"
21398073,21398073.0,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,HOSPITALIZACIÓN GINECO-OBSTETRICIA,,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST, INV_2025"
21398074,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,,URGENCIAS ADULTOS,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21398075,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21398079,21398079.0,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,HOSPITALIZACIÓN ADULTOS EXPANSIÓN,HOSPITALIZACIÓN CIRUGÍA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST, INV_2025"
21398081,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,HOSPITALIZACIÓN ADULTOS PISO 4,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21398083,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,HOSPITALIZACIÓN PEDIÁTRICA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21398084,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,,URGENCIAS PEDIATRÍA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21398146,21398146.0,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,HOSPITALIZACIÓN QUIRÚRGICAS,URGENCIAS PEDIATRÍA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST, INV_2025"
21398149,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21398170,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,,URGENCIAS ADULTOS,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21398227,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,HOSPITALIZACIÓN CIRUGÍA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21435480,,BOMBA DE INFUSIÓN,ICU MEDICAL,Plum 360 Driver Refurb,,,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21435484,,BOMBA DE INFUSIÓN,ICU MEDICAL,Plum 360 Driver Refurb,,HOSPITALIZACIÓN ADULTOS PISO 4,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21435524,,BOMBA DE INFUSIÓN,ICU MEDICAL,Plum 360 Driver Refurb,,,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21435578,,BOMBA DE INFUSIÓN,ICU MEDICAL,Plum 360 Driver Refurb,,,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21435653,,BOMBA DE INFUSIÓN,ICU MEDICAL,Plum 360 Driver Refurb,,,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21436126,,BOMBA DE INFUSIÓN,ICU MEDICAL,Plum 360 Driver Refurb,,,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21436361,,BOMBA DE INFUSIÓN,ICU MEDICAL,Plum 360 Driver Refurb,,UCI ADULTOS,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21436507,,BOMBA DE INFUSIÓN,ICU MEDICAL,Plum 360 Driver Refurb,,INTERMEDIOS PEDIATRÍA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21436788,,BOMBA DE INFUSIÓN,ICU MEDICAL,Plum 360 Driver Refurb,,UCI NEONATAL,"BOMBAS_2026_PENDIENTES, ICU_MEDICAL_LIST"
21436906,,BOMBA DE INFUSIÓN,ICU MEDICAL,Plum 360 Driver Refurb,,UCI NEONATAL,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21437150,,BOMBA DE INFUSIÓN,ICU MEDICAL,Plum 360 Driver Refurb,,INTERMEDIOS PEDIATRÍA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21437531,,BOMBA DE INFUSIÓN,ICU MEDICAL,Plum 360 Driver Refurb,,,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21437670,,BOMBA DE INFUSIÓN,ICU MEDICAL,Plum 360 Driver Refurb,,,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21437707,,BOMBA DE INFUSIÓN,ICU MEDICAL,Plum 360 Driver Refurb,,,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21438471,,BOMBA DE INFUSIÓN,ICU MEDICAL,Plum 360 Driver Refurb,,,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21439584,,BOMBA DE INFUSIÓN,ICU MEDICAL,Plum 360 Driver Refurb,,,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21440221,,BOMBA DE INFUSIÓN,ICU MEDICAL,Plum 360 Driver Refurb,,,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21780813,,BOMBA DE INFUSIÓN,ICU MEDICAL,Plum 360 Driver Refurb,,HOSPITALIZACIÓN CIRUGÍA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
23055759,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,HOSPITALIZACIÓN ADULTOS EXPANSIÓN,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
23056126,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,HOSPITALIZACIÓN CIRUGÍA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
23056359,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
23056831,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,HOSPITALIZACIÓN ADULTOS EXPANSIÓN,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
23056864,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
23057187,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,HOSPITALIZACIÓN ADULTOS PISO 4,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
23057558,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,HOSPITALIZACIÓN ADULTOS EXPANSIÓN,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
23057581,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,HOSPITALIZACIÓN ADULTOS EXPANSIÓN,"BOMBAS_2026_PENDIENTES, ICU_MEDICAL_LIST"
23057584,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,HOSPITALIZACIÓN ADULTOS EXPANSIÓN,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
23057618,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,HOSPITALIZACIÓN ADULTOS EXPANSIÓN,"BOMBAS_2026_PENDIENTES, ICU_MEDICAL_LIST"
23057643,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,RETIRADO,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
23057649,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,HOSPITALIZACIÓN ADULTOS EXPANSIÓN,"BOMBAS_2026_PENDIENTES, ICU_MEDICAL_LIST"
23057653,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
23058264,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,HOSPITALIZACIÓN ADULTOS PISO 5,"BOMBAS_2026_PENDIENTES, ICU_MEDICAL_LIST"
41405824,,BOMBA DE INFUSIÓN,ICU MEDICAL,Plum 360 Driver Refurb,,,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
41405976,,BOMBA DE INFUSIÓN,ICU MEDICAL,Plum 360 Driver Refurb,,INTERMEDIOS PEDIATRÍA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
41406007,,BOMBA DE INFUSIÓN,ICU MEDICAL,Plum 360 Driver Refurb,,HOSPITALIZACIÓN CIRUGÍA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
41406709,,BOMBA DE INFUSIÓN,ICU MEDICAL,Bomba de infusión Plum 360™ compatible con ICU Medical MedNet™,,UCI PEDIÁTRICA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
41406725,41406725.0,BOMBA DE INFUSIÓN,ICU MEDICAL,Bomba de infusión Plum 360™ compatible con ICU Medical MedNet™,HOSPITALIZACIÓN GINECO-OBSTETRICIA,INTERMEDIOS PEDIATRÍA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST, INV_2025"
41406736,41406736.0,BOMBA DE INFUSIÓN,ICU MEDICAL,Bomba de infusión Plum 360™ compatible con ICU Medical MedNet™,HOSPITALIZACIÓN GINECO-OBSTETRICIA,UCO,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST, INV_2025"
41406785,,BOMBA DE INFUSIÓN,ICU MEDICAL,Plum 360 Driver Refurb,,INTERMEDIOS PEDIATRÍA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
